"nationality","count"
"England",54
"Germany",45
"Spain",40
"France",35
"Argentina",33
"Netherlands",29
"Republic of Ireland",24
"Japan",23
"Scotland",20
"Norway",17
"Sweden",17
"Brazil",15
"Denmark",13
"Belgium",13
"Korea Republic",12
"United States",10
"Romania",9
"Portugal",9
"Poland",9
"Mexico",9
"Uruguay",8
"Austria",8
"Switzerland",7
"Chile",5
"Italy",5
"Russia",5
"Northern Ireland",5
"Australia",5
"Serbia",4
"Croatia",4
"Colombia",4
"Venezuela",4
"Paraguay",4
"South Africa",4
"China PR",4
"Ecuador",4
"Greece",4
"Bolivia",3
"Finland",3
"Ghana",3
"Ivory Coast",3
"New Zealand",3
"Hungary",3
"Czech Republic",2
"Canada",2
"Iceland",2
"Algeria",2
"DR Congo",2
"Cameroon",2
"Saudi Arabia",2
"Guinea",1
"Sierra Leone",1
"Peru",1
"Luxembourg",1
"Senegal",1
"Jamaica",1
"Syria",1
"Mozambique",1
"Slovakia",1
"Cape Verde",1
"Costa Rica",1
"Ukraine",1
"Grenada",1
"Albania",1
"Montenegro",1
"Panama",1
"Bulgaria",1
"North Macedonia",1
"Morocco",1
"Moldova",1
"Georgia",1
"Angola",1
"United Arab Emirates",1
"Eritrea",1
"Zimbabwe",1
"Bosnia Herzegovina",1
"Azerbaijan",1
"Nigeria",1
"Turkey",1
